model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,3,진입로 차단,40,42,38,4,34,2,0.95,97,0.0,792.09,[]
astar,2,3,진입로 차단,40,43,39,4,35,1,0.975,91,0.0,840.54,[]
astar,3,3,진입로 차단,40,44,35,6,29,5,0.875,82,0.0,600.87,[]
astar,4,3,진입로 차단,40,45,38,8,30,2,0.95,79,0.0,802.6,[]
astar,5,3,진입로 차단,40,46,35,5,30,5,0.875,94,0.0,590.69,[]
astar,6,3,진입로 차단,40,47,31,2,29,9,0.775,73,0.0,313.61,[]
astar,7,3,진입로 차단,40,48,31,4,27,9,0.775,68,0.0,302.17,[]
astar,8,3,진입로 차단,40,49,38,6,32,2,0.95,73,0.0,774.54,[]
astar,9,3,진입로 차단,40,50,37,6,31,3,0.925,76,0.0,731.29,[]
astar,10,3,진입로 차단,40,51,30,3,27,10,0.75,77,0.0,210.76,[]
astar,11,3,진입로 차단,40,52,36,4,32,4,0.9,89,0.0,674.39,[]
astar,12,3,진입로 차단,40,53,35,2,33,5,0.875,88,0.0,600.39,[]
astar,13,3,진입로 차단,40,54,35,3,32,5,0.875,87,0.0,587.12,[]
astar,14,3,진입로 차단,40,55,35,3,32,5,0.875,103,0.0,604.37,[]
astar,15,3,진입로 차단,40,56,34,6,28,6,0.85,98,0.0,528.46,[]
astar,16,3,진입로 차단,40,57,37,1,36,3,0.925,82,0.0,722.69,[]
astar,17,3,진입로 차단,40,58,35,3,32,5,0.875,81,0.0,594.09,[]
astar,18,3,진입로 차단,40,59,36,3,33,4,0.9,71,0.0,680.14,[]
astar,19,3,진입로 차단,40,60,36,7,29,4,0.9,75,0.0,660.6,[]
astar,20,3,진입로 차단,40,61,32,2,30,8,0.8,72,0.0,367.26,[]
astar,21,3,진입로 차단,40,62,32,1,31,8,0.8,80,0.0,360.5,[]
astar,22,3,진입로 차단,40,63,35,2,33,5,0.875,84,0.0,604.11,[]
astar,23,3,진입로 차단,40,64,36,7,29,4,0.9,100,0.0,688.26,[]
astar,24,3,진입로 차단,40,65,38,8,30,2,0.95,74,0.0,767.87,[]
astar,25,3,진입로 차단,40,66,35,4,31,5,0.875,77,0.0,583.02,[]
astar,26,3,진입로 차단,40,67,35,4,31,5,0.875,77,0.0,602.23,[]
astar,27,3,진입로 차단,40,68,33,6,27,7,0.825,73,0.0,435.58,[]
astar,28,3,진입로 차단,40,69,35,2,33,5,0.875,70,0.0,584.15,[]
astar,29,3,진입로 차단,40,70,34,6,28,6,0.85,109,0.0,513.72,[]
astar,30,3,진입로 차단,40,71,29,8,21,11,0.725,74,0.0,131.61,[]
ppo,1,3,진입로 차단,40,42,39,5,34,1,0.975,101,0.0,846.11,[]
ppo,2,3,진입로 차단,40,43,38,5,33,2,0.95,73,0.0,782.52,[]
ppo,3,3,진입로 차단,40,44,33,6,27,7,0.825,85,0.0,444.59,[]
ppo,4,3,진입로 차단,40,45,39,8,31,1,0.975,63,0.0,861.53,[]
ppo,5,3,진입로 차단,40,46,35,4,31,5,0.875,83,0.0,587.55,[]
ppo,6,3,진입로 차단,40,47,33,2,31,7,0.825,78,0.0,462.58,[]
ppo,7,3,진입로 차단,40,48,33,5,28,7,0.825,83,0.0,463.19,[]
ppo,8,3,진입로 차단,40,49,38,6,32,2,0.95,60,0.0,781.47,[]
ppo,9,3,진입로 차단,40,50,37,6,31,3,0.925,76,0.0,729.69,[]
ppo,10,3,진입로 차단,40,51,31,3,28,9,0.775,79,0.0,284.77,[]
ppo,11,3,진입로 차단,40,52,38,4,34,2,0.95,78,0.0,786.89,[]
ppo,12,3,진입로 차단,40,53,36,2,34,4,0.9,72,0.0,680.2,[]
ppo,13,3,진입로 차단,40,54,37,3,34,3,0.925,87,0.0,722.39,[]
ppo,14,3,진입로 차단,40,55,35,3,32,5,0.875,95,0.0,602.97,[]
ppo,15,3,진입로 차단,40,56,34,6,28,6,0.85,98,0.0,531.93,[]
ppo,16,3,진입로 차단,40,57,37,1,36,3,0.925,71,0.0,719.52,[]
ppo,17,3,진입로 차단,40,58,35,3,32,5,0.875,84,0.0,595.96,[]
ppo,18,3,진입로 차단,40,59,36,3,33,4,0.9,59,0.0,687.11,[]
ppo,19,3,진입로 차단,40,60,36,7,29,4,0.9,75,0.0,660.6,[]
ppo,20,3,진입로 차단,40,61,32,2,30,8,0.8,63,0.0,367.19,[]
ppo,21,3,진입로 차단,40,62,32,1,31,8,0.8,80,0.0,361.09,[]
ppo,22,3,진입로 차단,40,63,37,2,35,3,0.925,58,0.0,746.2,[]
ppo,23,3,진입로 차단,40,64,36,7,29,4,0.9,80,0.0,687.68,[]
ppo,24,3,진입로 차단,40,65,38,8,30,2,0.95,66,0.0,770.74,[]
ppo,25,3,진입로 차단,40,66,35,4,31,5,0.875,73,0.0,577.72,[]
ppo,26,3,진입로 차단,40,67,36,4,32,4,0.9,79,0.0,677.9,[]
ppo,27,3,진입로 차단,40,68,34,6,28,6,0.85,73,0.0,510.58,[]
ppo,28,3,진입로 차단,40,69,33,2,31,7,0.825,80,0.0,431.54,[]
ppo,29,3,진입로 차단,40,70,36,6,30,4,0.9,77,0.0,661.77,[]
ppo,30,3,진입로 차단,40,71,28,7,21,12,0.7,101,0.0,56.93,[]
